ENSMUST00000000001	ENSMUSG00000000001	Gnai3
ENSMUST00000022196	ENSMUSG00000021686	Ap3b1
ENSMUST00000022197	ENSMUSG00000021687	Scamp1
ENSMUST00000022203	ENSMUSG00000021692	Dimt1
ENSMUST00000022204	ENSMUSG00000021693	Kif2a
ENSMUST00000022207	ENSMUSG00000021696	Elovl7
ENSMUST00000022212	ENSMUSG00000021701	Plk2
ENSMUST00000022213	ENSMUSG00000021702	Thbs4
ENSMUST00000022217	ENSMUSG00000021706	Zfyve16
ENSMUST00000022218	ENSMUSG00000021707	Dhfr
ENSMUST00000022220	ENSMUSG00000014850	Msh3
ENSMUST00000022222	ENSMUSG00000021709	Erbb2ip
ENSMUST00000022224	ENSMUSG00000021711	Trappc13
ENSMUST00000022225	ENSMUSG00000021712	Trim23
ENSMUST00000022226	ENSMUSG00000021713	Ppwd1
ENSMUST00000022227	ENSMUSG00000021714	Cenpk
ENSMUST00000022228	ENSMUSG00000021715	Cwc27
ENSMUST00000022232	ENSMUSG00000021718	4933425L06Rik
ENSMUST00000022235	ENSMUSG00000021721	Htr1a
ENSMUST00000022239	ENSMUSG00000021725	Parp8
ENSMUST00000022242	ENSMUSG00000021728	Emb
ENSMUST00000022245	ENSMUSG00000021731	Mrps30
ENSMUST00000022246	ENSMUSG00000021732	Fgf10
ENSMUST00000022256	ENSMUSG00000021737	Psmd6
ENSMUST00000022257	ENSMUSG00000021738	Atxn7
ENSMUST00000022262	ENSMUSG00000021743	Fezf2
ENSMUST00000022264	ENSMUSG00000021745	Ptprg
ENSMUST00000022268	ENSMUSG00000021748	Pdhb
ENSMUST00000022269	ENSMUSG00000021749	Oit1
ENSMUST00000022271	ENSMUSG00000021751	Acox2
ENSMUST00000022272	ENSMUSG00000021752	Kctd6
ENSMUST00000022275	ENSMUSG00000049985	Ankrd55
ENSMUST00000022281	ENSMUSG00000016018	Skiv2l2
ENSMUST00000022282	ENSMUSG00000021760	Gpx8
ENSMUST00000022286	ENSMUSG00000021764	Ndufs4
ENSMUST00000022287	ENSMUSG00000021765	Fst
ENSMUST00000022292	ENSMUSG00000021770	Samd8
ENSMUST00000022293	ENSMUSG00000021771	Vdac2
ENSMUST00000022294	ENSMUSG00000021772	Nkiras1
ENSMUST00000022295	ENSMUSG00000021773	Comtd1
ENSMUST00000022296	ENSMUSG00000021774	Ube2e1
ENSMUST00000022303	ENSMUSG00000021779	Thrb
ENSMUST00000022304	ENSMUSG00000021779	Thrb
ENSMUST00000022310	ENSMUSG00000021785	Ngly1
ENSMUST00000022311	ENSMUSG00000021786	Oxsm
ENSMUST00000022314	ENSMUSG00000021789	Sftpa1
ENSMUST00000022315	ENSMUSG00000021790	Dydc1
ENSMUST00000022316	ENSMUSG00000021791	Dydc2
ENSMUST00000022317	ENSMUSG00000021792	Fam213a
ENSMUST00000022322	ENSMUSG00000021794	Glud1
ENSMUST00000022325	ENSMUSG00000021797	9230112D13Rik
ENSMUST00000022327	ENSMUSG00000021798	Ldb3
ENSMUST00000022328	ENSMUSG00000021798	Ldb3
ENSMUST00000022330	ENSMUSG00000021798	Ldb3
ENSMUST00000022331	ENSMUSG00000021799	Opn4
ENSMUST00000022337	ENSMUSG00000021803	Cdhr1
ENSMUST00000022338	ENSMUSG00000021804	Rgr
ENSMUST00000022340	ENSMUSG00000021806	Nid2
ENSMUST00000022341	ENSMUSG00000021807	2700060E02Rik
ENSMUST00000022343	ENSMUSG00000021809	Nudt13
ENSMUST00000022344	ENSMUSG00000021810	Ecd
ENSMUST00000022345	ENSMUSG00000021811	Dnajc9
ENSMUST00000022348	ENSMUSG00000039543	Ttc18
ENSMUST00000022349	ENSMUSG00000039543	Ttc18
ENSMUST00000022353	ENSMUSG00000021815	Mss51
ENSMUST00000022355	ENSMUSG00000021816	Ppp3cb
ENSMUST00000022356	ENSMUSG00000034235	Usp54
ENSMUST00000022358	ENSMUSG00000021819	Zswim8
ENSMUST00000022368	ENSMUSG00000021822	Plau
ENSMUST00000022369	ENSMUSG00000021823	Vcl
ENSMUST00000022377	ENSMUSG00000021830	Txndc16
ENSMUST00000022378	ENSMUSG00000021831	Ero1l
ENSMUST00000022380	ENSMUSG00000021832	Psmc6
ENSMUST00000022386	ENSMUSG00000021838	Samd4
ENSMUST00000022391	ENSMUSG00000021843	Ktn1
ENSMUST00000022398	ENSMUSG00000021850	1700011H14Rik
ENSMUST00000022416	ENSMUSG00000021866	Anxa11
ENSMUST00000022419	ENSMUSG00000021868	Ppif
ENSMUST00000022424	ENSMUSG00000021872	Rnase10
ENSMUST00000022427	ENSMUSG00000021874	4933413J09Rik
ENSMUST00000022428	ENSMUSG00000021876	Rnase4
ENSMUST00000022429	ENSMUSG00000021877	Arf4
ENSMUST00000022437	ENSMUSG00000021884	Hacl1
ENSMUST00000022438	ENSMUSG00000000606	Vmn2r88
ENSMUST00000022446	ENSMUSG00000021890	Eaf1
ENSMUST00000022450	ENSMUSG00000040651	D14Abb1e
ENSMUST00000022451	ENSMUSG00000021893	Capn7
ENSMUST00000022458	ENSMUSG00000021901	Bap1
ENSMUST00000022459	ENSMUSG00000021902	Phf7
ENSMUST00000022461	ENSMUSG00000021905	Dph3
ENSMUST00000022462	ENSMUSG00000021906	Oxnad1
ENSMUST00000022464	ENSMUSG00000021907	Msmb
ENSMUST00000022469	ENSMUSG00000021910	Nisch
ENSMUST00000022470	ENSMUSG00000021911	Parg
ENSMUST00000022471	ENSMUSG00000042323	Pbrm1
ENSMUST00000022474	ENSMUSG00000042323	Pbrm1
ENSMUST00000022476	ENSMUSG00000021916	Glt8d1
ENSMUST00000022480	ENSMUSG00000021913	Ogdhl
ENSMUST00000022494	ENSMUSG00000021928	Ebpl
ENSMUST00000022496	ENSMUSG00000021929	Kpna3
ENSMUST00000022497	ENSMUSG00000021930	Spryd7
ENSMUST00000022499	ENSMUSG00000021932	Rnaseh2b
ENSMUST00000022501	ENSMUSG00000021933	Gucy1b2
ENSMUST00000022504	ENSMUSG00000021936	Mapk8
ENSMUST00000022507	ENSMUSG00000021938	Pspc1
ENSMUST00000022508	ENSMUSG00000021940	Ptpn20
ENSMUST00000022511	ENSMUSG00000021945	Zmym2
ENSMUST00000022517	ENSMUSG00000021947	Cryl1
ENSMUST00000022518	ENSMUSG00000021951	N6amt2
ENSMUST00000022519	ENSMUSG00000021950	Anxa8
ENSMUST00000022521	ENSMUSG00000021948	Prkcd
ENSMUST00000022522	ENSMUSG00000021953	Tdh
ENSMUST00000022528	ENSMUSG00000021958	Pinx1
ENSMUST00000022529	ENSMUSG00000021957	Tkt
ENSMUST00000022531	ENSMUSG00000021959	Lats2
ENSMUST00000022532	ENSMUSG00000021961	4930578I06Rik
ENSMUST00000022535	ENSMUSG00000021962	Dcp1a
ENSMUST00000022536	ENSMUSG00000021965	Ska3
ENSMUST00000022537	ENSMUSG00000021966	Prss52
ENSMUST00000022538	ENSMUSG00000021967	Mrp63
ENSMUST00000022543	ENSMUSG00000021973	Micu2
ENSMUST00000022544	ENSMUSG00000021972	Hmbox1
ENSMUST00000022548	ENSMUSG00000021977	1700129C05Rik
ENSMUST00000022550	ENSMUSG00000021978	Extl3
ENSMUST00000022551	ENSMUSG00000035469	Rcbtb1
ENSMUST00000022553	ENSMUSG00000021981	Cab39l
ENSMUST00000022555	ENSMUSG00000021982	Cdadc1
ENSMUST00000022561	ENSMUSG00000021986	Amer2
ENSMUST00000022563	ENSMUSG00000021987	Mtmr6
ENSMUST00000022566	ENSMUSG00000021990	Spata13
ENSMUST00000022567	ENSMUSG00000021991	Cacna2d3
ENSMUST00000022573	ENSMUSG00000021996	Esd
ENSMUST00000022574	ENSMUSG00000021997	Lrrc63
ENSMUST00000022576	ENSMUSG00000021999	Cpb2
ENSMUST00000022577	ENSMUSG00000022000	Zc3h13
ENSMUST00000022579	ENSMUSG00000022002	4930564B18Rik
ENSMUST00000022580	ENSMUSG00000022003	Slc25a30
ENSMUST00000022585	ENSMUSG00000022008	1200011I18Rik
ENSMUST00000022586	ENSMUSG00000022009	Nufip1
ENSMUST00000022587	ENSMUSG00000022010	Tsc22d1
ENSMUST00000022589	ENSMUSG00000022012	Enox1
ENSMUST00000022590	ENSMUSG00000022013	Dnajc15
ENSMUST00000022591	ENSMUSG00000022014	Epsti1
ENSMUST00000022592	ENSMUSG00000022015	Tnfsf11
ENSMUST00000022593	ENSMUSG00000022016	Akap11
ENSMUST00000022595	ENSMUSG00000022018	Rgcc
ENSMUST00000022597	ENSMUSG00000022020	Naa16
ENSMUST00000022599	ENSMUSG00000022021	Diap3
ENSMUST00000022600	ENSMUSG00000022022	Mtrf1
ENSMUST00000022601	ENSMUSG00000022023	Wbp4
ENSMUST00000022603	ENSMUSG00000022025	Lect1
ENSMUST00000022609	ENSMUSG00000022031	Elp3
ENSMUST00000022610	ENSMUSG00000022032	Scara5
ENSMUST00000022612	ENSMUSG00000022033	Pbk
ENSMUST00000022613	ENSMUSG00000022034	Esco2
ENSMUST00000022614	ENSMUSG00000022035	Ccdc25
ENSMUST00000022616	ENSMUSG00000022037	Clu
ENSMUST00000022618	ENSMUSG00000022039	Adam2
ENSMUST00000022620	ENSMUSG00000022041	Chrna2
ENSMUST00000022622	ENSMUSG00000059456	Ptk2b
ENSMUST00000022623	ENSMUSG00000022043	Trim35
ENSMUST00000022629	ENSMUSG00000022048	Dpysl2
ENSMUST00000022634	ENSMUSG00000022051	Bnip3l
ENSMUST00000022637	ENSMUSG00000022053	Ebf2
ENSMUST00000022638	ENSMUSG00000022054	Nefm
ENSMUST00000022640	ENSMUSG00000022056	Adam7
ENSMUST00000022641	ENSMUSG00000022057	Adamdec1
ENSMUST00000022642	ENSMUSG00000014725	Adam28
ENSMUST00000022646	ENSMUSG00000022061	Nkx3-1
ENSMUST00000022650	ENSMUSG00000022064	Pibf1
ENSMUST00000022656	ENSMUSG00000022070	Bora
ENSMUST00000022660	ENSMUSG00000034205	Loxl2
ENSMUST00000022663	ENSMUSG00000022074	Tnfrsf10b
ENSMUST00000022665	ENSMUSG00000022075	Rhobtb2
ENSMUST00000022666	ENSMUSG00000022076	Klhl1
ENSMUST00000022678	ENSMUSG00000022085	Pebp4
ENSMUST00000022680	ENSMUSG00000022089	Bin3
ENSMUST00000022681	ENSMUSG00000022090	Pdlim2
ENSMUST00000022682	ENSMUSG00000022091	Sorbs3
ENSMUST00000022688	ENSMUSG00000022094	Slc39a14
ENSMUST00000022690	ENSMUSG00000022095	Fam160b2
ENSMUST00000022691	ENSMUSG00000022096	Hr
ENSMUST00000022692	ENSMUSG00000022097	Sftpc
ENSMUST00000022693	ENSMUSG00000022098	Bmp1
ENSMUST00000022694	ENSMUSG00000022099	Dmtn
ENSMUST00000022695	ENSMUSG00000022099	Dmtn
ENSMUST00000022696	ENSMUSG00000022100	Xpo7
ENSMUST00000022697	ENSMUSG00000022101	Fgf17
ENSMUST00000022698	ENSMUSG00000022102	Dok2
ENSMUST00000022699	ENSMUSG00000022103	Gfra2
ENSMUST00000022701	ENSMUSG00000022105	Rb1
ENSMUST00000022702	ENSMUSG00000022106	Rcbtb2
ENSMUST00000022704	ENSMUSG00000022108	Itm2b
ENSMUST00000022705	ENSMUSG00000022109	Med4
ENSMUST00000022706	ENSMUSG00000022110	Sucla2
ENSMUST00000022707	ENSMUSG00000022112	Gpc5
ENSMUST00000022708	ENSMUSG00000022113	Trim52
ENSMUST00000022709	ENSMUSG00000022114	Spry2
ENSMUST00000022711	ENSMUSG00000022116	4930449E01Rik
ENSMUST00000022715	ENSMUSG00000022119	Rbm26
ENSMUST00000022716	ENSMUSG00000022120	Rnf219
ENSMUST00000022718	ENSMUSG00000022122	Ednrb
ENSMUST00000022720	ENSMUSG00000022124	Fbxl3
ENSMUST00000022721	ENSMUSG00000022125	Cln5
ENSMUST00000022722	ENSMUSG00000022126	Irg1
ENSMUST00000022725	ENSMUSG00000022129	Dct
ENSMUST00000022727	ENSMUSG00000022130	Tgds
ENSMUST00000022728	ENSMUSG00000022131	Gpr180
ENSMUST00000022734	ENSMUSG00000022136	Dnajc3
ENSMUST00000022744	ENSMUSG00000022144	Gdnf
ENSMUST00000022746	ENSMUSG00000022146	Osmr
ENSMUST00000022749	ENSMUSG00000022149	C9
ENSMUST00000022751	ENSMUSG00000022151	Ttc33
ENSMUST00000022757	ENSMUSG00000015441	Gzmf
ENSMUST00000022765	ENSMUSG00000022159	Rab2b
ENSMUST00000022766	ENSMUSG00000016831	Tox4
ENSMUST00000022767	ENSMUSG00000022160	Mettl3
ENSMUST00000022781	ENSMUSG00000022174	Dad1
ENSMUST00000022784	ENSMUSG00000022177	Haus4
ENSMUST00000022786	ENSMUSG00000022179	4931414P19Rik
ENSMUST00000022787	ENSMUSG00000022180	Slc7a8
ENSMUST00000022788	ENSMUSG00000022181	C6
ENSMUST00000022793	ENSMUSG00000022185	Acin1
ENSMUST00000022794	ENSMUSG00000022185	Acin1
ENSMUST00000022803	ENSMUSG00000022193	Psmb5
ENSMUST00000022806	ENSMUSG00000089682	Bcl2l2
ENSMUST00000022813	ENSMUSG00000022203	Efs
ENSMUST00000022815	ENSMUSG00000022204	Ngdn
ENSMUST00000022816	ENSMUSG00000022205	Sub1
ENSMUST00000022819	ENSMUSG00000022208	Jph4
ENSMUST00000022820	ENSMUSG00000022209	Dhrs2
ENSMUST00000022821	ENSMUSG00000022210	Dhrs4
ENSMUST00000022826	ENSMUSG00000022215	Fitm1
ENSMUST00000022828	ENSMUSG00000022217	Emc9
ENSMUST00000022830	ENSMUSG00000022221	Ripk3
ENSMUST00000022831	ENSMUSG00000047153	Khnyn
ENSMUST00000022834	ENSMUSG00000022225	Cma1
ENSMUST00000022836	ENSMUSG00000022227	Mcpt1
ENSMUST00000022842	ENSMUSG00000022234	Cct5
ENSMUST00000022849	ENSMUSG00000022241	Tars
ENSMUST00000022851	ENSMUSG00000022243	Slc45a2
ENSMUST00000022853	ENSMUSG00000058914	C1qtnf3
ENSMUST00000022855	ENSMUSG00000022247	Brix1
ENSMUST00000022856	ENSMUSG00000022248	Rad1
ENSMUST00000022857	ENSMUSG00000022249	Ttc23l
ENSMUST00000022858	ENSMUSG00000089678	Agxt2
ENSMUST00000022861	ENSMUSG00000072664	Ugt3a1
ENSMUST00000022865	ENSMUSG00000022255	Mtdh
ENSMUST00000022867	ENSMUSG00000022257	Laptm4b
ENSMUST00000022871	ENSMUSG00000022261	Sdc2
ENSMUST00000022875	ENSMUSG00000022265	Ank
ENSMUST00000022881	ENSMUSG00000022270	Fam134b
ENSMUST00000022882	ENSMUSG00000022272	Myo10
ENSMUST00000022890	ENSMUSG00000022280	Rnf19a
ENSMUST00000022894	ENSMUSG00000022285	Ywhaz
ENSMUST00000022895	ENSMUSG00000022286	Grhl2
ENSMUST00000022897	ENSMUSG00000022288	4930447A16Rik
ENSMUST00000022901	ENSMUSG00000022292	Rrm2b
ENSMUST00000022904	ENSMUSG00000022295	Atp6v1c1
ENSMUST00000022906	ENSMUSG00000022297	Fzd6
ENSMUST00000022908	ENSMUSG00000022299	Slc25a32
ENSMUST00000022909	ENSMUSG00000022300	Dcaf13
ENSMUST00000022913	ENSMUSG00000022303	Dcstamp
ENSMUST00000022915	ENSMUSG00000022304	Dpys
ENSMUST00000022916	ENSMUSG00000022305	Lrp12
ENSMUST00000022918	ENSMUSG00000022307	Oxr1
ENSMUST00000022921	ENSMUSG00000022309	Angpt1
ENSMUST00000022925	ENSMUSG00000022312	Eif3h
ENSMUST00000022927	ENSMUSG00000022314	Rad21
ENSMUST00000022945	ENSMUSG00000022322	Shcbp1
ENSMUST00000022946	ENSMUSG00000022323	Hrsp12
ENSMUST00000022947	ENSMUSG00000022324	Matn2
ENSMUST00000022952	ENSMUSG00000022330	Osr2
ENSMUST00000022953	ENSMUSG00000036800	Fam135b
ENSMUST00000022954	ENSMUSG00000022332	Khdrbs3
ENSMUST00000022960	ENSMUSG00000022336	Eif3e
ENSMUST00000022962	ENSMUSG00000022337	Emc2
ENSMUST00000022964	ENSMUSG00000022339	Ebag9
ENSMUST00000022967	ENSMUSG00000022342	Kcnv1
ENSMUST00000022971	ENSMUSG00000022346	Myc
ENSMUST00000022976	ENSMUSG00000022350	E430025E21Rik
ENSMUST00000022977	ENSMUSG00000022351	Sqle
ENSMUST00000022980	ENSMUSG00000022354	Ndufb9
ENSMUST00000022985	ENSMUSG00000022357	Klhl38
ENSMUST00000022986	ENSMUSG00000022358	Fbxo32
ENSMUST00000022992	ENSMUSG00000022364	Wdr67
ENSMUST00000022993	ENSMUSG00000022365	Derl1
ENSMUST00000022995	ENSMUSG00000022366	Slc22a22
ENSMUST00000022998	ENSMUSG00000022369	Mtbp
ENSMUST00000023006	ENSMUSG00000022375	Lrrc6
ENSMUST00000023007	ENSMUSG00000022376	Adcy8
ENSMUST00000023008	ENSMUSG00000022377	Asap1
ENSMUST00000023015	ENSMUSG00000022382	Wnt7b
ENSMUST00000023019	ENSMUSG00000022386	Trmu
ENSMUST00000023024	ENSMUSG00000022389	Tef
ENSMUST00000023029	ENSMUSG00000022394	L3mbtl2
ENSMUST00000023036	ENSMUSG00000022400	Rbx1
ENSMUST00000023040	ENSMUSG00000022404	Slc25a17
ENSMUST00000023044	ENSMUSG00000022408	Fam83f
ENSMUST00000023048	ENSMUSG00000022412	Smcr7l
ENSMUST00000023050	ENSMUSG00000022414	Tab1
ENSMUST00000023053	ENSMUSG00000022371	Col14a1
ENSMUST00000023054	ENSMUSG00000009585	Apobec3
ENSMUST00000023055	ENSMUSG00000022420	Dnal4
ENSMUST00000023056	ENSMUSG00000022419	Deptor
ENSMUST00000023057	ENSMUSG00000022421	Npcd
ENSMUST00000023059	ENSMUSG00000022422	Dscc1
ENSMUST00000023061	ENSMUSG00000022426	Josd1
ENSMUST00000023062	ENSMUSG00000022427	Tomm22
ENSMUST00000023064	ENSMUSG00000022428	Cby1
ENSMUST00000023065	ENSMUSG00000022429	Dmc1
ENSMUST00000023067	ENSMUSG00000022431	Ribc2
ENSMUST00000023068	ENSMUSG00000022432	Smc1b
ENSMUST00000023069	ENSMUSG00000022434	Fam118a
ENSMUST00000023070	ENSMUSG00000022435	Upk3a
ENSMUST00000023071	ENSMUSG00000022437	Samm50
ENSMUST00000023072	ENSMUSG00000022438	Parvb
ENSMUST00000023074	ENSMUSG00000022439	Parvg
ENSMUST00000023075	ENSMUSG00000022440	C1qtnf6
ENSMUST00000023076	ENSMUSG00000058099	Nfam1
ENSMUST00000023083	ENSMUSG00000061740	Cyp2d22
ENSMUST00000023085	ENSMUSG00000022450	Ndufa6
ENSMUST00000023086	ENSMUSG00000022452	Smdt1
ENSMUST00000023087	ENSMUSG00000022451	Twf1
ENSMUST00000023088	ENSMUSG00000022453	Naga
ENSMUST00000023089	ENSMUSG00000022455	Wbp2nl
ENSMUST00000023095	ENSMUSG00000022456	Sept3
ENSMUST00000023099	ENSMUSG00000022462	Slc38a2
ENSMUST00000023100	ENSMUSG00000022463	Srebf2
ENSMUST00000023101	ENSMUSG00000022464	Slc38a4
ENSMUST00000023104	ENSMUSG00000022466	Rpap3
ENSMUST00000023105	ENSMUSG00000022468	Endou
ENSMUST00000023110	ENSMUSG00000022472	Desi1
ENSMUST00000023112	ENSMUSG00000022474	Pmm1
ENSMUST00000023113	ENSMUSG00000022476	Polr3h
ENSMUST00000023116	ENSMUSG00000022477	Aco2
ENSMUST00000023119	ENSMUSG00000022479	Vdr
ENSMUST00000023123	ENSMUSG00000022483	Col2a1
ENSMUST00000023128	ENSMUSG00000000555	Itga5
ENSMUST00000023129	ENSMUSG00000022487	Gtsf1
ENSMUST00000023132	ENSMUSG00000022489	Pde1b
ENSMUST00000023133	ENSMUSG00000022490	Ppp1r1a
ENSMUST00000023134	ENSMUSG00000022491	Glycam1
ENSMUST00000023138	ENSMUSG00000022494	Shisa9
ENSMUST00000023140	ENSMUSG00000022496	Tnfrsf17
ENSMUST00000023143	ENSMUSG00000022500	Litaf
ENSMUST00000023144	ENSMUSG00000022501	Prm1
ENSMUST00000023146	ENSMUSG00000022503	Nubp1
ENSMUST00000023147	ENSMUSG00000022504	Ciita
ENSMUST00000023150	ENSMUSG00000022507	1810013L24Rik
ENSMUST00000023151	ENSMUSG00000022508	Bcl6
ENSMUST00000023154	ENSMUSG00000022512	Cldn1
ENSMUST00000023156	ENSMUSG00000022514	Il1rap
ENSMUST00000023157	ENSMUSG00000022515	Anks3
ENSMUST00000023159	ENSMUSG00000022517	Mgrn1
ENSMUST00000023161	ENSMUSG00000022519	Srl
ENSMUST00000023165	ENSMUSG00000022521	Crebbp
ENSMUST00000023171	ENSMUSG00000022528	Hes1
ENSMUST00000023176	ENSMUSG00000022529	Zfp263
ENSMUST00000023179	ENSMUSG00000033669	Zfp7
ENSMUST00000023180	ENSMUSG00000022534	Mefv
ENSMUST00000023189	ENSMUSG00000022536	Glyr1
ENSMUST00000023191	ENSMUSG00000022540	Rogdi
ENSMUST00000023203	ENSMUSG00000022546	Gpt
ENSMUST00000023207	ENSMUSG00000022548	Apod
ENSMUST00000023210	ENSMUSG00000022551	Cyc1
ENSMUST00000023211	ENSMUSG00000022552	Sharpin
ENSMUST00000023212	ENSMUSG00000022553	Maf1
ENSMUST00000023213	ENSMUSG00000022554	Fam203a
ENSMUST00000023214	ENSMUSG00000022555	Dgat1
ENSMUST00000023217	ENSMUSG00000022557	Bop1
ENSMUST00000023219	ENSMUSG00000022559	Fbxl6
ENSMUST00000023220	ENSMUSG00000022560	Slc52a2
ENSMUST00000023221	ENSMUSG00000022561	Gpaa1
ENSMUST00000023222	ENSMUSG00000022562	Oplah
ENSMUST00000023225	ENSMUSG00000022564	Grina
ENSMUST00000023226	ENSMUSG00000022565	Plec
ENSMUST00000023231	ENSMUSG00000022570	Tsta3
ENSMUST00000023235	ENSMUSG00000055762	Eef1d
ENSMUST00000023237	ENSMUSG00000022574	Naprt1
ENSMUST00000023238	ENSMUSG00000022575	Gsdmd
ENSMUST00000023241	ENSMUSG00000022577	Ly6h
ENSMUST00000023243	ENSMUSG00000022579	Gpihbp1
ENSMUST00000023244	ENSMUSG00000022580	Rhpn1
ENSMUST00000023247	ENSMUSG00000022583	Ly6f
ENSMUST00000023248	ENSMUSG00000075602	Ly6a
ENSMUST00000023250	ENSMUSG00000022586	Ly6i
ENSMUST00000023259	ENSMUSG00000022594	Lynx1
ENSMUST00000023260	ENSMUSG00000022595	Lypd2
ENSMUST00000023261	ENSMUSG00000022596	Slurp1
ENSMUST00000023265	ENSMUSG00000022598	Psca
ENSMUST00000023268	ENSMUSG00000022602	Arc
ENSMUST00000023269	ENSMUSG00000022601	Zbtb11
ENSMUST00000023270	ENSMUSG00000022604	Cep97
ENSMUST00000023271	ENSMUSG00000022603	Mroh4
ENSMUST00000023276	ENSMUSG00000047921	Trappc9
ENSMUST00000023282	ENSMUSG00000022613	Miox
ENSMUST00000023283	ENSMUSG00000022614	Lmf2
ENSMUST00000023285	ENSMUSG00000022615	Tymp
ENSMUST00000023289	ENSMUSG00000022617	Chkb
ENSMUST00000023292	ENSMUSG00000022620	Arsa
ENSMUST00000023294	ENSMUSG00000022621	Rabl2
ENSMUST00000023295	ENSMUSG00000022622	Acr
ENSMUST00000023312	ENSMUSG00000022636	Alcam
ENSMUST00000023328	ENSMUSG00000022650	Retnlb
ENSMUST00000023329	ENSMUSG00000061100	Retnla
ENSMUST00000023330	ENSMUSG00000022652	Morc1
ENSMUST00000023334	ENSMUSG00000022656	Pvrl3
ENSMUST00000023335	ENSMUSG00000022656	Pvrl3
ENSMUST00000023336	ENSMUSG00000022657	Cd96
ENSMUST00000023339	ENSMUSG00000022659	Gcsam
ENSMUST00000023341	ENSMUSG00000022661	Cd200
ENSMUST00000023343	ENSMUSG00000022663	Atg3
ENSMUST00000023344	ENSMUSG00000022664	Slc35a5
ENSMUST00000023351	ENSMUSG00000022671	Mzt2
ENSMUST00000023352	ENSMUSG00000022672	Prkdc
ENSMUST00000023353	ENSMUSG00000022673	Mcm4
ENSMUST00000023356	ENSMUSG00000022676	Snai2
ENSMUST00000023357	ENSMUSG00000022677	Fopnl
ENSMUST00000023359	ENSMUSG00000022678	Nde1
ENSMUST00000023360	ENSMUSG00000022679	Mpv17l
ENSMUST00000023361	ENSMUSG00000022680	Pdxdc1
ENSMUST00000023362	ENSMUSG00000022681	Ntan1
ENSMUST00000023363	ENSMUSG00000022682	Rrn3
ENSMUST00000023365	ENSMUSG00000022684	Bfar
ENSMUST00000023370	ENSMUSG00000022687	Boc
ENSMUST00000023387	ENSMUSG00000022704	Qtrtd1
ENSMUST00000023390	ENSMUSG00000022705	Drd3
ENSMUST00000023391	ENSMUSG00000022706	Mrpl40
ENSMUST00000023393	ENSMUSG00000022707	Gbe1
ENSMUST00000023396	ENSMUSG00000022711	Pmm2
ENSMUST00000023400	ENSMUSG00000022715	Cldn26
ENSMUST00000023405	ENSMUSG00000022722	Arl6
ENSMUST00000023407	ENSMUSG00000022724	Mina
ENSMUST00000023426	ENSMUSG00000022744	Cldn25
ENSMUST00000023431	ENSMUSG00000022749	Tbc1d23
ENSMUST00000023432	ENSMUSG00000022751	Nit2
ENSMUST00000023434	ENSMUSG00000022753	Tmem30c
ENSMUST00000023435	ENSMUSG00000022754	Tmem45a
ENSMUST00000023437	ENSMUSG00000022755	Gpr128
ENSMUST00000023441	ENSMUSG00000022758	P2rx6
ENSMUST00000023442	ENSMUSG00000022759	4930451C15Rik
ENSMUST00000023444	ENSMUSG00000022761	Lztr1
ENSMUST00000023448	ENSMUSG00000022763	Aifm3
ENSMUST00000023449	ENSMUSG00000022765	Snap29
ENSMUST00000023450	ENSMUSG00000022766	Serpind1
ENSMUST00000023452	ENSMUSG00000022768	Ccdc116
ENSMUST00000023453	ENSMUSG00000022769	Sdf2l1
ENSMUST00000023454	ENSMUSG00000022770	Dlg1
ENSMUST00000023455	ENSMUSG00000022771	Ppil2
ENSMUST00000023460	ENSMUSG00000022774	Ncbp2
ENSMUST00000023462	ENSMUSG00000063358	Mapk1
ENSMUST00000023464	ENSMUSG00000022780	Mfi2
ENSMUST00000023465	ENSMUSG00000022779	Top3b
ENSMUST00000023468	ENSMUSG00000022783	Spag6
ENSMUST00000023474	ENSMUSG00000022787	Wdr53
ENSMUST00000023477	ENSMUSG00000022789	Dnm1l
ENSMUST00000023478	ENSMUSG00000022790	Igsf11
ENSMUST00000023482	ENSMUSG00000022793	B4galt4
ENSMUST00000023486	ENSMUSG00000022797	Tfrc
ENSMUST00000023487	ENSMUSG00000022799	Arhgap31
ENSMUST00000023489	ENSMUSG00000022800	Fyttd1
ENSMUST00000023491	ENSMUSG00000022801	Lrch3
ENSMUST00000023494	ENSMUSG00000022803	Popdc2
ENSMUST00000023501	ENSMUSG00000022805	Maats1
ENSMUST00000023502	ENSMUSG00000022808	Snx4
ENSMUST00000023504	ENSMUSG00000022809	Nr1i2
ENSMUST00000023507	ENSMUSG00000022812	Gsk3b
ENSMUST00000023509	ENSMUSG00000062901	Klhl24
ENSMUST00000023510	ENSMUSG00000022814	Umps
ENSMUST00000023513	ENSMUSG00000022818	Cyp2ab1
ENSMUST00000023520	ENSMUSG00000022824	Muc13
ENSMUST00000023524	ENSMUSG00000022827	Rabl3
ENSMUST00000023525	ENSMUSG00000022828	Gtf2e1
ENSMUST00000023530	ENSMUSG00000022832	Ropn1
ENSMUST00000023531	ENSMUSG00000022831	Hcls1
ENSMUST00000023532	ENSMUSG00000022833	Ccdc14
ENSMUST00000023535	ENSMUSG00000022837	Iqcb1
ENSMUST00000023537	ENSMUSG00000022838	Eaf2
ENSMUST00000023538	ENSMUSG00000022836	Mylk
ENSMUST00000023550	ENSMUSG00000022844	Pdia5
ENSMUST00000023554	ENSMUSG00000022848	Dirc2
